club,name,position,age,overall,nationality,image
Bragantino,Lucas Evangelista,MC MEI MD,27,77,Brazil,wiki/67783.png
Bragantino,Bernardo Natan,ZAG,21,77,Brazil,wiki/106523.png
Bragantino,Jose Ytalo,ATA MEI,34,77,Brazil,wiki/32874.png
Bragantino,Raul Goncalves,MC MD,26,76,Brazil,wiki/94129.png
Bragantino,Junio Helinho,PE MEI,22,76,Brazil,wiki/99242.png
Bragantino,Eric Ramires,MC MEI MD,22,76,Brazil,wiki/99191.png
Bragantino,Lima Aderlan,MD LD ZAG,32,75,Brazil,wiki/76721.png
Bragantino,Souza Alerrandro,ATA,22,75,Brazil,wiki/99227.png
Bragantino,Meemyas Jadsom,MD MC LD,21,75,Brazil,wiki/104201.png
Bragantino,Bruno Praxedes,MEI MC,20,75,Brazil,wiki/104090.png
Bragantino,Juninho Capixaba,MD LE ZAG,25,75,Brazil,wiki/90477.png
Bragantino,Marcos Sorriso,PE ATA,21,74,Brazil,wiki/114570.png
Bragantino,Jose Hurtado,MD LD ZAG,21,74,Ecuador,wiki/112327.png
Bragantino,Jan Hurtado,ATA,22,74,Venezuela,wiki/94174.png
Bragantino,Thiago Borbas,ATA,20,74,Uruguay,wiki/107648.png
Bragantino,Kevin Lomonaco,ZAG,20,73,Argentina,wiki/112731.png
Bragantino,Bruno Tubarao,PE MEI,27,72,Brazil,wiki/104275.png
Bragantino,Carvalho Vitinho,MEI MC,24,72,Brazil,wiki/89231.png
Bragantino,Thonny Anderson,ATA ATA,25,72,Brazil,wiki/99233.png
Bragantino,Leonardo Realpe,ZAG,21,70,Ecuador,wiki/104272.png
Bragantino,Azevedo Lucao,GOL,21,70,Brazil,wiki/104240.png
Bragantino,Gabriel Novaes,ATA,23,70,Brazil,wiki/99966.png
Bragantino,Guilherme Weverton,MD LD ZAG,23,68,Brazil,wiki/101321.png
Bragantino,Lucas Ramon,MD LD ZAG,28,68,Brazil,wiki/81931.jpg
Bragantino,Henrique Leandrinho,ATA MEI,24,68,Brazil,wiki/81562.png
Bragantino,Werik Popo,ATA,21,68,Brazil,wiki/113175.png
Bragantino,Goncalves Bruninho,ATA,19,65,Brazil,wiki/117413.png
Bragantino,Kawe Ferreira,PD ATA,20,65,Brazil,wiki/missing_player.jpg
Bragantino,Douglas Mendes,ZAG,18,65,Brazil,wiki/126484.png
Bragantino,Martins Robinho,PE ATA,24,65,Brazil,wiki/104707.png
Bragantino,Moraes Chrigor,ATA,22,65,Brazil,wiki/105119.png
Bragantino,Luciano Silva,MD MC ZAG,19,62,Brazil,wiki/missing_player.jpg
Bragantino,Guilherme Lopes,MC,20,62,Brazil,wiki/missing_player.jpg
Bragantino,Silva Welliton,ATA ATA,22,62,Brazil,wiki/128170.png
Bragantino,Maycon Cleiton,GOL,24,59,Brazil,wiki/missing_player.jpg
Atlético-GO,Rodrigo Soares,MD MD ZAG,30,75,Brazil,wiki/89334.png
Atlético-GO,Junio Jefferson,MD LE ZAG,26,74,Brazil,wiki/89446.png
Atlético-GO,Gabriel Baralhas,MC MD,24,74,Brazil,wiki/108652.png
Atlético-GO,Ramon Menezes,ZAG,27,74,Brazil,wiki/87047.png
Atlético-GO,Xavier Jorginho,MEI MC,32,74,Brazil,wiki/65061.png
Atlético-GO,Felipe Vizeu,ATA,25,74,Brazil,wiki/86107.png
Atlético-GO,Luiz Fernando,PE MEI,26,74,Brazil,wiki/85673.jpg
Atlético-GO,Wellington Rato,ATA MEI,30,74,Brazil,wiki/116021.png
Atlético-GO,Cordeiro Hayner,MD LD ZAG,27,73,Brazil,wiki/94636.png
Atlético-GO,Cardozo Shaylon,MEI MC,25,72,Brazil,wiki/89382.png
Atlético-GO,Oliveira Ronaldo,GOL,26,72,Brazil,wiki/90517.png
Atlético-GO,Onitlasi Moraes,MD LE ZAG,25,71,Brazil,wiki/104280.png
Atlético-GO,Santos Renan,GOL,33,70,Brazil,wiki/33363.png
Atlético-GO,Arthur Henrique,MD MC PE ZAG,28,70,Brazil,wiki/77053.png
Atlético-GO,Airton Moises,PE ATA,23,70,Brazil,wiki/107880.png
Atlético-GO,Gomes Rhaldney,MEI MC MD,24,70,Brazil,wiki/112947.png
Atlético-GO,Matheus Pereira,VOL ZAG,25,70,Brazil,wiki/109120.png
Atlético-GO,Lucas Gazal,ZAG,23,68,Brazil,wiki/missing_player.jpg
Atlético-GO,Carvalho Ramon,MD ME ZAG,25,68,Brazil,wiki/99249.png
Atlético-GO,Kelvin Giacobe,ATA MEI,25,65,Brazil,wiki/124626.png
Atlético-GO,Luis Phelipe,PE MEI,21,64,Brazil,wiki/104156.png
Atlético-GO,Lucas Lima,MD LD ZAG,22,62,Brazil,wiki/missing_player.jpg
Atlético-GO,Pedro Paulo,GOL,24,59,Brazil,wiki/missing_player.jpg
Atlético-GO,Alves Danilo,ZAG,21,59,Brazil,wiki/108650.png
Atlético-GO,Pedro Pepe,MC,20,57,Brazil,wiki/missing_player.jpg
Atlético-GO,Custodio Michel,ZAG,21,57,Brazil,wiki/missing_player.jpg
Goiás,Antonio Tadeu,GOL,30,75,Brazil,wiki/101544.png
Goiás,Rodrigues Felipe,MD MC LD,28,75,Brazil,wiki/102148.png
Goiás,Leo Sena,MC MD,27,74,Brazil,wiki/89445.png
Goiás,Santos Auremir,MD MC LD,31,74,Brazil,wiki/54558.png
Goiás,Luiz Apodi,MD MC PD ZAG,36,74,Brazil,wiki/32336.jpg
Goiás,Jackson Diego,LD MC MEI ZAG,27,74,Brazil,wiki/115476.png
Goiás,Santos Vinicius,PE MEI,29,74,Brazil,wiki/44104.png
Goiás,Fellipe Bastos,MC MD,32,72,Brazil,wiki/34926.png
Goiás,Marquinhos Gabriel,PE MEI,32,72,Brazil,wiki/41179.png
Goiás,Johann Nicolas,ATA MEI,33,72,Brazil,wiki/115479.png
Goiás,Jose Maguinho,MD LD ZAG,31,70,Brazil,wiki/95255.png
Goiás,Hugo Ferreira,MD LE ZAG,25,70,Brazil,wiki/112156.png
Goiás,Gabriel Thalles,MEI,25,70,Brazil,wiki/104767.png
Goiás,Jhonny Lucas,MC MD,22,69,Brazil,wiki/94255.png
Goiás,Yan Souto,ZAG,21,68,Brazil,wiki/missing_player.jpg
Goiás,Fernando Sidimar,ZAG,30,68,Brazil,wiki/124198.png
Goiás,Bruno Mezenga,PE PE,34,67,Brazil,wiki/3726.png
Goiás,Joao da Silva,ZAG,21,67,Brazil,wiki/missing_player.jpg
Goiás,Daniel de Pauli,MEI MC,23,65,Brazil,wiki/105125.png
Goiás,Juan Pablo,MD LE ZAG,20,65,Brazil,wiki/missing_player.jpg
Goiás,Matheus Santos,PE ATA,24,65,Brazil,wiki/missing_player.jpg
Goiás,Pedro Junqueira,PE ATA,18,65,Brazil,wiki/127863.png
Goiás,Henrique Lordelo,MC MD,22,65,Brazil,wiki/missing_player.jpg
Goiás,Danilo Cardoso,ZAG,25,65,Brazil,wiki/missing_player.jpg
Goiás,Marcelo Rangel,GOL,34,65,Brazil,wiki/102158.png
Goiás,Douglas Pele,MD LD ZAG,23,62,Brazil,wiki/missing_player.jpg
Goiás,Matheus Alves,GOL,28,62,Brazil,wiki/102159.png
Goiás,Gabriel Rodrigues,MD LE ZAG,23,62,Brazil,wiki/105121.png
Goiás,Neto Albano,MEI,25,60,Brazil,wiki/missing_player.jpg
Goiás,Melo Nathan,MC MD,21,59,Brazil,wiki/missing_player.jpg
Goiás,Lucas Emmanuel,ATA,21,59,Brazil,wiki/missing_player.jpg
Goiás,Breno Herculano,ATA,23,59,Brazil,wiki/missing_player.jpg
Goiás,Marcio Victor,GOL,22,57,Brazil,wiki/missing_player.jpg
Grêmio,Luis Suarez,ATA,35,83,Uruguay,wiki/6378.png
Grêmio,Lucas Leiva,MC MD,35,79,Brazil,wiki/12802.png
Grêmio,Franco Cristaldo,MC MEI MD,26,78,Argentina,wiki/79202.png
Grêmio,Pedro Geromel,ZAG,37,78,Brazil,wiki/12464.png
Grêmio,Diego Souza,ATA,37,78,Brazil,wiki/3290.png
Grêmio,Jean Pyerre,MEI MC,24,77,Brazil,wiki/99232.png
Grêmio,Walter Kannemann,ZAG,31,77,Argentina,wiki/58118.png
Grêmio,Fabio da Silva,MC ZAG,32,76,Brazil,wiki/37551.png
Grêmio,Diogo Barbosa,MD LE ZAG,30,75,Brazil,wiki/48548.png
Grêmio,Leo Gomes,LD LD,26,75,Brazil,wiki/77853.png
Grêmio,Mathias Villasanti,MC MEI MD,25,75,Paraguay,wiki/95105.png
Grêmio,Felipe Carballo,MEI MC,26,75,Uruguay,wiki/82659.png
Grêmio,Mendes Darlan,MC MD,24,75,Brazil,wiki/102153.png
Grêmio,Lucas Silva,MC MD,29,75,Brazil,wiki/61199.png
Grêmio,Mickael Thaciano,MC MEI MD,27,74,Brazil,wiki/87028.png
Grêmio,Jaminton Campaz,MEI MC,22,74,Colombia,wiki/93078.png
Grêmio,Diego Churin,ATA,33,74,Argentina,wiki/32357.png
Grêmio,Aldemir Ferreira,PE ATA,25,74,Brazil,wiki/104796.png
Grêmio,Guimaraes Edilson,MD MD ZAG,36,72,Brazil,wiki/43642.png
Grêmio,Costa Brenno,GOL,23,72,Brazil,wiki/102152.png
Grêmio,Gabriel Grando,GOL,22,72,Brazil,wiki/113777.png
Grêmio,Bruno Uvini,ZAG,31,72,Brazil,wiki/46024.png
Grêmio,Thiago Santos,MC MD,33,72,Brazil,wiki/78353.png
Grêmio,Joao Bitello,MC MEI MD,22,72,Brazil,wiki/123714.png
Grêmio,Elias Isaque,MC MEI MD,25,70,Brazil,wiki/104795.png
Grêmio,Guilherme Augusto,PE MEI,27,70,Brazil,wiki/90594.png
Grêmio,Mateus Sarara,MD MC LD,20,69,Brazil,wiki/117657.png
Grêmio,Phelipe Megiolaro,GOL,23,68,Brazil,wiki/98613.png
Grêmio,Jhonata Robert,PE MEI,23,68,Brazil,wiki/104238.png
Grêmio,Fernando Henrique,MC MEI MD,21,67,Brazil,wiki/114520.png
Grêmio,Guilherme Azevedo,PE ATA,21,67,Brazil,wiki/102155.png
Grêmio,Alburquerque Felipe,MD LD ZAG,23,65,Brazil,wiki/99230.png
Grêmio,Pedro Lucas,MEI,20,65,Brazil,wiki/114522.png
Grêmio,Guilherme Guedes,MD LE ZAG,23,65,Brazil,wiki/99229.png
Grêmio,Souza Vitinho,MD LE ZAG,21,64,Brazil,wiki/99108.png
Grêmio,Moreira Wesley,PE ATA,20,63,Brazil,wiki/missing_player.jpg
Grêmio,Vasconcelos Adriel,GOL,21,59,Brazil,wiki/114519.png
Grêmio,Gustavo Marins,ZAG,20,59,Brazil,wiki/missing_player.jpg
Grêmio,Gabriel Silva,MC,20,57,Brazil,wiki/missing_player.jpg
Grêmio,Lucas Kawan,MD LD ZAG,19,57,Brazil,wiki/missing_player.jpg
América-MG,Éder Ferreira,VOL ZAG,27,76,Brazil,wiki/90476.png
América-MG,Lucas Kal,MD MC ZAG,26,76,Brazil,wiki/87072.png
América-MG,Martin Benitez,ATA ATA,28,76,Argentina,wiki/54389.png
América-MG,Nino Paraiba,MD LD ZAG,36,75,Brazil,wiki/43666.png
América-MG,Patric Lalau,MD LD ZAG,33,75,Brazil,wiki/39595.png
América-MG,Adilson Juninho,MC MEI MD,35,75,Brazil,wiki/69017.png
América-MG,Iago Maidana,ZAG,26,75,Brazil,wiki/87073.png
América-MG,Silva Everaldo,ATA ATA,28,75,Brazil,wiki/97981.png
América-MG,Pereira Wanderson,ZAG,31,74,Brazil,wiki/86989.png
América-MG,Egea Ale,MC MEI MD,32,74,Brazil,wiki/114550.png
América-MG,Dada Belmonte,MEI MC,25,74,Brazil,wiki/115478.png
América-MG,Henrique Almeida,ATA,31,74,Brazil,wiki/43628.png
América-MG,Gonzalo Mastriani,ATA,29,74,Uruguay,wiki/52131.png
América-MG,Emmanuel Martinez,PE ATA,28,74,Argentina,wiki/82007.png
América-MG,Cardoso Matheusinho,PE MEI,24,74,Brazil,wiki/86971.png
América-MG,Matheus Cavichioli,GOL,36,74,Brazil,wiki/54551.png
América-MG,Marlon Lopes,MD LE ZAG,28,74,Brazil,wiki/110468.png
América-MG,Felipe Azevedo,ATA ATA,35,74,Brazil,wiki/41216.png
América-MG,Mateus Goncalves,MEI,28,73,Brazil,wiki/87121.png
América-MG,Ricardo Silva,ZAG,30,72,Brazil,wiki/81806.png
América-MG,Juninho Valoura,MC MEI MD,36,72,Brazil,wiki/47698.png
América-MG,Goncalves Aloisio,ATA MEI,34,72,China,wiki/18234.jpg
América-MG,Ze Ricardo,MC MD,26,72,Brazil,wiki/94337.png
América-MG,Wellington Paulista,ATA,38,72,Brazil,wiki/3751.png
América-MG,Bardella Rodolfo,ATA,30,72,Brazil,wiki/114557.png
América-MG,Moraes Airton,GOL,28,69,Brazil,wiki/82530.png
América-MG,Santos Jori,GOL,26,68,Brazil,wiki/94335.png
América-MG,Luiz Flavio,MC MD,22,67,Brazil,wiki/102536.png
América-MG,Mendonca Gustavinho,MEI MC,21,67,Brazil,wiki/114552.png
América-MG,Carlos Alberto,ATA MEI,20,66,Brazil,wiki/114556.png
América-MG,Souza Rodriguinho,MEI MC,19,65,Brazil,wiki/missing_player.jpg
América-MG,Robson Nascimento,GOL,22,62,Brazil,wiki/missing_player.jpg
América-MG,Soares Adyson,PE ATA,17,57,Brazil,wiki/120598.png
Bahia,Ricardo Goulart,ATA ATA,31,78,Brazil,wiki/41270.png
Bahia,Cardoso Christian,MC MD,22,77,Brazil,wiki/104784.png
Bahia,Sampaio Daniel,MEI MC,26,75,Brazil,wiki/87067.png
Bahia,Jonathan Copete,ATA MEI,34,75,Colombia,wiki/50064.png
Bahia,Nicolas Acevedo,VOL LD,23,74,Uruguay,wiki/100023.png
Bahia,Matheus Bahia,MD LE ZAG,23,74,Brazil,wiki/108665.png
Bahia,Danilo Fernandes,GOL,34,74,Brazil,wiki/53805.png
Bahia,Stum Everaldo,ATA,31,73,Brazil,wiki/59072.png
Bahia,Marco Antonio,MEI MC,25,72,Brazil,wiki/90482.png
Bahia,Julio Rezende,MC MD,28,70,Brazil,wiki/115481.png
Bahia,Vinicius Didi,ZAG,31,70,Brazil,wiki/68381.png
Bahia,Lucas Mugni,PE MEI,30,70,Argentina,wiki/55618.png
Bahia,Gabriel Biel,PE MEI,21,70,Brazil,wiki/116373.png
Bahia,Matheus Teixeira,GOL,23,70,Brazil,wiki/99252.png
Bahia,Émerson Santos,MC MD,30,69,Brazil,wiki/68907.png
Bahia,Rai Nascimento,PE MEI,24,69,Brazil,wiki/93743.png
Bahia,Mateus Claus,GOL,28,69,Brazil,wiki/105105.png
Bahia,Vitor Jacare,ATA ATA,23,69,Brazil,wiki/105087.png
Bahia,Douglas Borel,MD LD ZAG,20,68,Brazil,wiki/102180.png
Bahia,Ze Vitor,ZAG,21,65,Brazil,wiki/missing_player.jpg
Bahia,Lucas Araujo,MC MD,23,65,Brazil,wiki/104793.png
Bahia,Gabriel Xavier,ZAG,21,65,Brazil,wiki/missing_player.jpg
Bahia,Gustavo Henrique,ZAG,23,64,Brazil,wiki/missing_player.jpg
Bahia,Denis Junior,GOL,24,62,Brazil,wiki/102307.png
Bahia,Xavier Gregory,MEI MC,21,60,Brazil,wiki/missing_player.jpg
Bahia,Andre Dhominique,MD LD ZAG,19,60,Brazil,wiki/missing_player.jpg
Chapecoense,Giovani Tiepo,GOL,24,72,Brazil,wiki/101130.png
Chapecoense,Lacerda Leo,ZAG,34,72,Brazil,wiki/30437.png
Chapecoense,Victor Ramos,ZAG,33,72,Brazil,wiki/39563.png
Chapecoense,Soares Xandao,ZAG,32,70,Brazil,wiki/102179.png
Chapecoense,Filho Betinho,MC MD,30,70,Brazil,wiki/90508.png
Chapecoense,Caio Rangel,ATA ATA,26,70,Brazil,wiki/74958.jpg
Chapecoense,Mendes Kaio,MEI MC,27,69,Brazil,wiki/87111.png
Chapecoense,Alisson Farias,PE ATA,26,69,Brazil,wiki/79768.jpg
Chapecoense,Marcelo Santos,MC MD,28,69,Brazil,wiki/72031.png
Chapecoense,Jose Cleylton,ZAG,29,68,Brazil,wiki/91712.png
Chapecoense,Joao Paulo,GOL,21,68,Brazil,wiki/113490.png
Chapecoense,Squarsone Saulo,GOL,37,68,Brazil,wiki/3746.jpg
Chapecoense,Gebing Ronei,MD MC LD,24,68,Brazil,wiki/102131.png
Chapecoense,Brandalise Vagner,GOL,33,68,Brazil,wiki/73176.png
Chapecoense,Pedro Perotti,ATA,25,68,Brazil,wiki/90565.png
Chapecoense,Marcelo Freitas,ATA ATA MC,28,68,Brazil,wiki/98754.png
Chapecoense,Bento Derlan,ZAG,26,68,Brazil,wiki/90537.png
Chapecoense,Carlos Orejuela,ATA,29,68,Ecuador,wiki/missing_player.jpg
Chapecoense,Rodrigo Freitas,ZAG,24,68,Brazil,wiki/102044.png
Chapecoense,Pablo Oliveira,MC MD,27,67,Brazil,wiki/missing_player.jpg
Chapecoense,Chrystian Barletta,PE MEI,21,67,Brazil,wiki/missing_player.jpg
Chapecoense,Meirelles Maranhao,PE ATA,32,65,Brazil,wiki/54641.jpg
Chapecoense,Maxwell Souza,ATA MEI,27,65,Brazil,wiki/100461.png
Chapecoense,Vinicius Foguinho,PE MEI,22,65,Brazil,wiki/missing_player.jpg
Chapecoense,Salles Ryan,LD,19,64,Brazil,wiki/missing_player.jpg
Chapecoense,Henrique Luizinho,PD ATA,26,64,Brazil,wiki/missing_player.jpg
Chapecoense,Araujo Rodriguinho,ATA,21,64,Brazil,wiki/missing_player.jpg
Chapecoense,Vitor Becker,ZAG,21,62,Brazil,wiki/missing_player.jpg
Chapecoense,Gianluca Mancha,MD LE ZAG,21,62,Brazil,wiki/missing_player.jpg
Chapecoense,Puerari Ned,MC MD,23,59,Brazil,wiki/missing_player.jpg
Chapecoense,Vinicius Guedes,MC MD,23,59,Brazil,wiki/missing_player.jpg
Chapecoense,Joao Cesco,ZAG,21,59,Brazil,wiki/missing_player.jpg
Chapecoense,Fernandes Henrique,GOL,23,57,Brazil,wiki/missing_player.jpg
Cuiabá,Acosta Deyverson,ATA,31,77,Brazil,wiki/65387.png
Cuiabá,Pereira Sidcley,MD LE ZAG,29,75,Brazil,wiki/77133.png
Cuiabá,Fernando Sobral,MC MD,28,75,Brazil,wiki/77876.png
Cuiabá,Capeloza Walter,GOL,35,75,Brazil,wiki/69814.png
Cuiabá,Ribeiro Paulao,ZAG,36,74,Brazil,wiki/43656.png
Cuiabá,Joao Carlos,GOL,34,74,Brazil,wiki/43673.png
Cuiabá,Goncalves Uendel,MD LE ZAG,34,74,Brazil,wiki/34225.png
Cuiabá,Alan Empereur,ZAG,28,74,Brazil,wiki/79453.png
Cuiabá,Rafael Gava,MC MD,29,74,Brazil,wiki/102062.png
Cuiabá,Joao Pepe,MEI MC,25,74,Brazil,wiki/108640.png
Cuiabá,Borges Marllon,ZAG,30,74,Brazil,wiki/58420.jpg
Cuiabá,Marinho Rodriguinho,ATA ATA MC,34,74,Brazil,wiki/47682.png
Cuiabá,Ferreira Valdivia,PE MEI,28,74,Brazil,wiki/73438.png
Cuiabá,Andre Luis,ATA ATA,25,74,Brazil,wiki/99898.png
Cuiabá,Isidro Pitta,ATA,23,73,Paraguay,wiki/108242.png
Cuiabá,Igor Carius,MD LE ZAG,29,73,Brazil,wiki/94258.png
Cuiabá,Brito Jenison,ATA,31,72,Brazil,wiki/114960.png
Cuiabá,Henrique Joaquim,ZAG,24,72,Brazil,wiki/124195.png
Cuiabá,Marcao Silva,MC MD,31,72,Brazil,wiki/94342.png
Cuiabá,Felipe Marques,ATA MEI,32,72,Brazil,wiki/106515.png
Cuiabá,Daniel Guedes,MD LD ZAG,28,72,Brazil,wiki/81697.png
Cuiabá,Cristhian Rivas,MC MD,25,70,Venezuela,wiki/123104.png
Cuiabá,Juan Ojeda,ZAG,24,69,Paraguay,wiki/119787.png
Cuiabá,Melo Alexandre,MD LE ZAG,23,66,Brazil,wiki/104242.png
Cuiabá,Lucas Cardoso,MEI,22,65,Brazil,wiki/missing_player.jpg
Cuiabá,Gabriel Pierini,MC MD,22,65,Brazil,wiki/missing_player.jpg
Cuiabá,Arruda Josiel,MEI,23,65,Brazil,wiki/missing_player.jpg
Cuiabá,Gustavo Nescau,ATA,22,65,Brazil,wiki/missing_player.jpg
Cuiabá,Melo Vinicius,GOL,23,64,Brazil,wiki/100927.png
Cuiabá,Matheus Nogueira,GOL,25,62,Brazil,wiki/missing_player.jpg
Cuiabá,Rocha Rikelme,ATA ATA,19,59,Brazil,wiki/114959.png
Cuiabá,Whevertton Pop,ATA,20,57,Brazil,wiki/missing_player.jpg
Cuiabá,Silva Athirson,MD LE ZAG,20,57,Brazil,wiki/missing_player.jpg
Cuiabá,Mateus Brun,ATA,19,57,Brazil,wiki/missing_player.jpg
Cuiabá,Alexandre Thainan,MD LD ZAG,20,52,Brazil,wiki/missing_player.jpg
Criciúma,Marcelo Hermes,MD LE ZAG,28,72,Brazil,wiki/81933.png
Criciúma,Fernando Viana,ATA MEI,30,70,Brazil,wiki/64786.png
Criciúma,Luiz Gustavo,GOL,29,68,Brazil,wiki/68992.jpg
Criciúma,Roberto Cristovam,MD LD ZAG,32,68,Brazil,wiki/72171.png
Criciúma,Lucas Xavier,MEI MC,28,68,Brazil,wiki/93214.png
Criciúma,Fagundes Rodrigo,ZAG,35,68,Brazil,wiki/missing_player.jpg
Criciúma,Rafael Bilu,MEI,23,67,Brazil,wiki/104737.png
Criciúma,Fellipe Mateus,MEI,31,67,Brazil,wiki/missing_player.jpg
Criciúma,Ze Marcos,VOL ZAG,24,67,Brazil,wiki/93121.png
Criciúma,Renan Bressan,MEI MC,34,67,Belarus,wiki/25038.png
Criciúma,Carvalho Tony,MEI MC,36,66,Brazil,wiki/45708.jpg
Criciúma,Helder Santos,MD LE ZAG,34,65,Brazil,wiki/33350.jpg
Criciúma,Renan Areias,MC MD,24,65,Brazil,wiki/103499.png
Criciúma,Tiago Marques,ATA,34,65,Brazil,wiki/95731.png
Criciúma,Poltronieri Rayan,ZAG,33,65,Brazil,wiki/missing_player.jpg
Criciúma,Lucas Poletto,ATA MEI,27,65,Brazil,wiki/103058.png
Criciúma,Machado Alisson,GOL,27,64,Brazil,wiki/missing_player.jpg
Criciúma,Alexandre Tam,MEI MC,23,62,Brazil,wiki/102344.png
Criciúma,Raul Steffens,GOL,25,57,Brazil,wiki/missing_player.jpg
Cruzeiro,Ramiro Benetti,MC MEI VOL,29,77,Brazil,wiki/58899.png
Cruzeiro,Maycon Nikao,PE MEI,30,77,Brazil,wiki/48534.png
Cruzeiro,Silva Wesley,ATA MEI,23,77,Brazil,wiki/102747.png
Cruzeiro,Furtado William,MD LD LE,27,76,Brazil,wiki/81730.png
Cruzeiro,William Pottker,ATA MEI,29,75,Brazil,wiki/54623.png
Cruzeiro,Moraes Reynaldo,ZAG,26,74,Brazil,wiki/94360.png
Cruzeiro,Rafael Cabral,GOL,32,74,Brazil,wiki/44696.png
Cruzeiro,Hueglo Neris,ZAG,30,72,Brazil,wiki/77072.png
Cruzeiro,Joao Paulo,MEI,32,72,Brazil,wiki/102107.png
Cruzeiro,Leonardo Pais,MD LD MEI ZAG,28,72,Uruguay,wiki/64426.png
Cruzeiro,Nascimento Edu,ATA,29,72,Brazil,wiki/113930.png
Cruzeiro,Eduardo Brock,LE,31,72,Brazil,wiki/94248.png
Cruzeiro,Lucas Oliveira,ZAG,26,72,Brazil,wiki/104279.png
Cruzeiro,Pedro Castro,MEI MC,29,72,Brazil,wiki/61414.png
Cruzeiro,Rafael Santos,MD LE LE,24,71,Brazil,wiki/102136.png
Cruzeiro,Lucas Ventura,MC MD,24,70,Brazil,wiki/90544.png
Cruzeiro,Henrique Luvannor,PE ATA,32,70,Moldova,wiki/65756.png
Cruzeiro,Filipe Machado,MC MD,26,70,Brazil,wiki/90571.png
Cruzeiro,Giovanni Piccolomo,MEI MC,28,70,Brazil,wiki/59001.png
Cruzeiro,Neto Moura,MC MEI MD,26,70,Brazil,wiki/77131.png
Cruzeiro,Souza Waguininho,ATA MEI,32,70,Brazil,wiki/77941.png
Cruzeiro,Wesley Gasolina,MD LD MEI ZAG,22,68,Brazil,wiki/100612.png
Cruzeiro,Wagner Leonardo,LE,23,68,Brazil,wiki/102340.png
Cruzeiro,Daniel Junior,MEI MC,20,68,Brazil,wiki/123718.png
Cruzeiro,Bruno Jose,PE ATA,24,68,Brazil,wiki/104736.png
Cruzeiro,Henrique Claudinho,PE MEI,22,67,Brazil,wiki/108486.png
Cruzeiro,Mateus Silva,ZAG,27,65,Brazil,wiki/113099.png
Cruzeiro,Mesquita Gabriel,GOL,24,65,Brazil,wiki/112546.png
Cruzeiro,Araujo Arthur,ZAG,23,65,Brazil,wiki/94665.png
Cruzeiro,Diego Miticov,MC MD,20,65,Brazil,wiki/missing_player.jpg
Cruzeiro,Vitor Leque,PE ATA,21,65,Brazil,wiki/108651.png
Cruzeiro,Junior Denivys,GOL,21,62,Brazil,wiki/missing_player.jpg
Cruzeiro,Lima Marcelinho,PE ATA,20,62,Brazil,wiki/107734.png
Cruzeiro,Stenio Zanetti,PE ATA,19,62,Brazil,wiki/missing_player.jpg
Cruzeiro,Weverton Silva,ZAG,19,62,Brazil,wiki/111321.png
Figueirense,Rodrigues Wilson,GOL,38,72,Brazil,wiki/27916.png
Figueirense,Christian Savio,MC MD,27,70,Brazil,wiki/86965.png
Figueirense,Wallace Oliveira,MD LD ZAG,28,70,Brazil,wiki/51192.png
Figueirense,Paulino Denner,MD LE ZAG,29,68,Brazil,wiki/59000.jpg
Figueirense,Araujo Kadu,ZAG,36,68,Brazil,wiki/27982.png
Figueirense,Édson Henrique,LE,35,68,Brazil,wiki/12867.jpg
Figueirense,Ze Mario,LE ME ZAG,30,67,Brazil,wiki/54638.jpg
Figueirense,Vinicius Kiss,MC MD,34,67,Brazil,wiki/missing_player.jpg
Figueirense,Rodolfo Castro,GOL,27,65,Brazil,wiki/82331.png
Figueirense,Bruno Paraiba,ATA,28,65,Brazil,wiki/missing_player.jpg
Figueirense,Andrew Drummond,PE ATA,26,65,Brazil,wiki/107809.png
Figueirense,Jhon Cley,PE MEI,28,65,Brazil,wiki/61431.png
Figueirense,Leo Artur,ATA ATA,27,65,Brazil,wiki/68344.png
Figueirense,Santos Raphinha,MD LE ZAG,23,64,Brazil,wiki/missing_player.jpg
Figueirense,Desplanches Elivelton,MD LE ZAG,25,60,Brazil,wiki/missing_player.jpg
Figueirense,Tomas Quintana,ZAG,22,59,Chile,wiki/missing_player.jpg
Figueirense,Joao Guilherme,GOL,31,58,Brazil,wiki/missing_player.jpg
Figueirense,Henrique Luizinho,PE ATA,26,55,Brazil,wiki/113108.png
Guarani,Silva Lucao,ZAG,26,72,Brazil,wiki/72042.png
Guarani,Matheus Bidu,MD LE ZAG,23,72,Brazil,wiki/112545.png
Guarani,Giovanni Augusto,MEI MC,33,72,Brazil,wiki/48536.png
Guarani,Mauricio Kozlinski,GOL,31,70,Brazil,wiki/90488.png
Guarani,Leandro Vilela,MC MD,27,70,Brazil,wiki/78209.png
Guarani,Diogo Mateus,MD LD ZAG,29,70,Brazil,wiki/62894.jpg
Guarani,Ronaldo Alves,ZAG,33,70,Brazil,wiki/42121.png
Guarani,Araujo Silas,MC MEI MD,26,69,Brazil,wiki/91306.png
Guarani,Bruno Miranda,ATA,24,69,Bolivia,wiki/89944.png
Guarani,Julio Cesar,ATA ATA,28,69,Brazil,wiki/78211.png
Guarani,Bruno Índio,MD MC LE,30,68,Brazil,wiki/missing_player.jpg
Guarani,Rafael Costa,ATA,35,68,Brazil,wiki/48504.jpg
Guarani,Guilherme Lima,MEI MC,23,68,Brazil,wiki/missing_player.jpg
